Site name,File granularity,URL template,Outfile template,Overwrite Policy,Max history,Ignore?,Source
Aireys Inlet,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3001.%Y%m.csv,bom daily/Aireys Inlet/IDCJDW3001.%Y%m.csv,Refresh current month,15m,,
Albury-Wodonga,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW2002.%Y%m.csv,bom daily/Albury-Wodonga/IDCJDW2002.%Y%m.csv,Refresh current month,15m,,
Ararat,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3002.%Y%m.csv,bom daily/Ararat/IDCJDW3002.%Y%m.csv,Refresh current month,15m,,
Avalon,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3003.%Y%m.csv,bom daily/Avalon/IDCJDW3003.%Y%m.csv,Refresh current month,15m,,
Bairnsdale,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3004.%Y%m.csv,bom daily/Bairnsdale/IDCJDW3004.%Y%m.csv,Refresh current month,15m,,
Ballarat,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3005.%Y%m.csv,bom daily/Ballarat/IDCJDW3005.%Y%m.csv,Refresh current month,15m,,http://www.bom.gov.au/climate/dwo/IDCJDW3005.latest.shtml
Ben Nevis,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3045.%Y%m.csv,bom daily/Ben Nevis/IDCJDW3045.%Y%m.csv,Refresh current month,15m,,
Benalla,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3007.%Y%m.csv,bom daily/Benalla/IDCJDW3007.%Y%m.csv,Refresh current month,15m,,
Bendigo,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3008.%Y%m.csv,bom daily/Bendigo/IDCJDW3008.%Y%m.csv,Refresh current month,15m,,
Bundoora,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3009.%Y%m.csv,bom daily/Bundoora/IDCJDW3009.%Y%m.csv,Refresh current month,15m,,
Cape Nelson,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3010.%Y%m.csv,bom daily/Cape Nelson/IDCJDW3010.%Y%m.csv,Refresh current month,15m,,
Cape Otway,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3011.%Y%m.csv,bom daily/Cape Otway/IDCJDW3011.%Y%m.csv,Refresh current month,15m,,
Casterton,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3012.%Y%m.csv,bom daily/Casterton/IDCJDW3012.%Y%m.csv,Refresh current month,15m,,
Castlemaine,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3013.%Y%m.csv,bom daily/Castlemaine/IDCJDW3013.%Y%m.csv,Refresh current month,15m,,
Cerberus,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3014.%Y%m.csv,bom daily/Cerberus/IDCJDW3014.%Y%m.csv,Refresh current month,15m,,
Charlton,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3092.%Y%m.csv,bom daily/Charlton/IDCJDW3092.%Y%m.csv,Refresh current month,15m,,
Colac (Mt Gellibrand),Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3015.%Y%m.csv,bom daily/Colac Mt Gellibrand/IDCJDW3015.%Y%m.csv,Refresh current month,15m,,
Coldstream,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3016.%Y%m.csv,bom daily/Coldstream/IDCJDW3016.%Y%m.csv,Refresh current month,15m,,
Combienbar,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3017.%Y%m.csv,bom daily/Combienbar/IDCJDW3017.%Y%m.csv,Refresh current month,15m,,
Corryong,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3018.%Y%m.csv,bom daily/Corryong/IDCJDW3018.%Y%m.csv,Refresh current month,15m,,
Cranbourne,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3019.%Y%m.csv,bom daily/Cranbourne/IDCJDW3019.%Y%m.csv,Refresh current month,15m,,
Dartmoor,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3101.%Y%m.csv,bom daily/Dartmoor/IDCJDW3101.%Y%m.csv,Refresh current month,15m,,
Dartmouth,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3020.%Y%m.csv,bom daily/Dartmouth/IDCJDW3020.%Y%m.csv,Refresh current month,15m,,
Echuca,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3023.%Y%m.csv,bom daily/Echuca/IDCJDW3023.%Y%m.csv,Refresh current month,15m,,
Edenhope,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3096.%Y%m.csv,bom daily/Edenhope/IDCJDW3096.%Y%m.csv,Refresh current month,15m,,
Edi Upper,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3024.%Y%m.csv,bom daily/Edi Upper/IDCJDW3024.%Y%m.csv,Refresh current month,15m,,
Essendon,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3026.%Y%m.csv,bom daily/Essendon/IDCJDW3026.%Y%m.csv,Refresh current month,15m,,
Falls Creek,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3027.%Y%m.csv,bom daily/Falls Creek/IDCJDW3027.%Y%m.csv,Refresh current month,15m,,
Ferny Creek,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3102.%Y%m.csv,bom daily/Ferny Creek/IDCJDW3102.%Y%m.csv,Refresh current month,15m,,
Frankston,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3028.%Y%m.csv,bom daily/Frankston/IDCJDW3028.%Y%m.csv,Refresh current month,15m,,
Gabo Island,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3029.%Y%m.csv,bom daily/Gabo Island/IDCJDW3029.%Y%m.csv,Refresh current month,15m,,
Geelong,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3030.%Y%m.csv,bom daily/Geelong/IDCJDW3030.%Y%m.csv,Refresh current month,15m,,
Gelantipy,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3031.%Y%m.csv,bom daily/Gelantipy/IDCJDW3031.%Y%m.csv,Refresh current month,15m,,
Haines Saddle,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3025.%Y%m.csv,bom daily/Haines Saddle/IDCJDW3025.%Y%m.csv,Refresh current month,15m,,
Hamilton,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3032.%Y%m.csv,bom daily/Hamilton/IDCJDW3032.%Y%m.csv,Refresh current month,15m,,
Hogan Island,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3088.%Y%m.csv,bom daily/Hogan Island/IDCJDW3088.%Y%m.csv,Refresh current month,15m,,
Hopetoun,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3090.%Y%m.csv,bom daily/Hopetoun/IDCJDW3090.%Y%m.csv,Refresh current month,15m,,
Horsham,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3035.%Y%m.csv,bom daily/Horsham/IDCJDW3035.%Y%m.csv,Refresh current month,15m,,
