"Event Postcode","BoM station ID","WMO","Name","Latitude","Longitude"
"3000",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"2042",87113,94854,"AVALON AIRPORT",-38.0287,144.4783
"2071",82039,95837,"RUTHERGLEN RESEARCH",-36.1047,146.5094
"2548",84016,94933,"GABO ISLAND LIGHTHOUSE",-37.5679,149.9158
"2549",84016,94933,"GABO ISLAND LIGHTHOUSE",-37.5679,149.9158
"2550",84016,94933,"GABO ISLAND LIGHTHOUSE",-37.5679,149.9158
"2551",84016,94933,"GABO ISLAND LIGHTHOUSE",-37.5679,149.9158
"2620",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2627",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2629",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2630",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2632",84143,94914,"COMBIENBAR AWS",-37.3417,149.0228
"2633",84143,94914,"COMBIENBAR AWS",-37.3417,149.0228
"2640",82039,95837,"RUTHERGLEN RESEARCH",-36.1047,146.5094
"2641",82039,95837,"RUTHERGLEN RESEARCH",-36.1047,146.5094
"2642",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2643",82039,95837,"RUTHERGLEN RESEARCH",-36.1047,146.5094
"2644",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2646",82039,95837,"RUTHERGLEN RESEARCH",-36.1047,146.5094
"2647",81124,94862,"YARRAWONGA",-36.0294,146.0306
"2648",76031,94693,"MILDURA AIRPORT",-34.2358,142.0867
"2650",82039,95837,"RUTHERGLEN RESEARCH",-36.1047,146.5094
"2653",82139,94878,"HUNTERS HILL",-36.2136,147.5394
"2710",81049,95836,"TATURA INST SUSTAINABLE AG",-36.4378,145.2672
"2711",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2712",81124,94862,"YARRAWONGA",-36.0294,146.0306
"2713",81124,94862,"YARRAWONGA",-36.0294,146.0306
"2714",81124,94862,"YARRAWONGA",-36.0294,146.0306
"2715",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2716",81124,94862,"YARRAWONGA",-36.0294,146.0306
"2717",76031,94693,"MILDURA AIRPORT",-34.2358,142.0867
"2731",81049,95836,"TATURA INST SUSTAINABLE AG",-36.4378,145.2672
"2732",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2733",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2734",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2735",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2736",77094,94843,"SWAN HILL AERODROME",-35.3766,143.5416
"2737",76031,94693,"MILDURA AIRPORT",-34.2358,142.0867
"2738",76031,94693,"MILDURA AIRPORT",-34.2358,142.0867
"2739",76031,94693,"MILDURA AIRPORT",-34.2358,142.0867
"2850",85296,95913,"MOUNT MOORNAPA",-37.7481,147.1428
"2880",76031,94693,"MILDURA AIRPORT",-34.2358,142.0867
"3001",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3002",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3003",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3004",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3006",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3008",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3011",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3012",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3013",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3015",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3016",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3018",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3019",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3020",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3021",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3022",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3023",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3024",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3025",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3026",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3027",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3028",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3029",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3030",87031,94865,"LAVERTON RAAF",-37.8565,144.7566
"3031",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3032",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3033",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3034",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3036",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3037",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3038",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3039",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3040",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3041",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3042",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3043",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3044",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3045",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3046",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3047",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3048",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3049",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3051",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3052",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3053",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3054",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3055",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3056",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3057",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3058",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3059",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3060",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3061",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3062",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3063",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3064",86282,94866,"MELBOURNE AIRPORT",-37.6655,144.8321
"3065",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3066",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3067",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3068",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3070",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3071",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3072",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3073",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3074",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3075",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3076",86038,95866,"ESSENDON AIRPORT",-37.7276,144.9066
"3078",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3079",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
"3081",86338,95936,"MELBOURNE (OLYMPIC PARK)",-37.82555556,144.9816667
